"muck_org","V1","d0","d1","d2","d3","d4","source","Source","avg_align","followers_count","friends_count","lang","media_handle","media_name","muck_role","muckrack_slug","protected","status_coordinates","status_lang","statuses_count","utc_offset","verified","mean_ideology_following","n_pol_follows","total_articles","dem","rep","lo"
"",1,-0.00807882277665,0.00191392924222,-0.00265418554542,0.00547506505503,0.0087477019645,100034461,"",NA,3419,1204,"en","","","","",FALSE,"","en",10753,"-14400",TRUE,-0.225965573159,3,NA,NA,NA,NA
"",2,0.0195368711474,-0.0148897538439,-0.00285866549653,-0.0209958792975,0.0110127605324,1000514822,"",NA,1001,1459,"en","","","","",FALSE,"","en",6342,"-14400",FALSE,0.454598410312,18,NA,NA,NA,NA
"",3,0.0187811536718,0.0213462180104,0.0274667701844,0.00227849834636,0.0161309425242,100066484,"",NA,95,1165,"en","","","","",FALSE,"","en",14,"None",FALSE,0.967500152597,3,NA,NA,NA,NA
"",4,0.00476121734186,0.00035177333909,-0.00825866572127,0.00871632524342,0.0122357776649,100083621,"",NA,176,1396,"en","","","","",FALSE,"","en",4928,"-18000",FALSE,-0.677634349911,7,NA,NA,NA,NA
"",5,-0.0124727679616,-0.00298853865468,0.000819441048167,0.00322930507986,0.00654448503887,100111175,"",NA,138,337,"en","","","","",FALSE,"","en",2523,"-14400",FALSE,-1.23683878727,5,NA,NA,NA,NA
"",6,-0.0109115301893,-0.0088160668824,9.94847663116e-05,0.00575256379846,0.00859034281313,100129907,"",NA,470,1618,"en","","","","",FALSE,"","en",2917,"-18000",FALSE,-0.119000583222,3,NA,NA,NA,NA
"",7,0.0020809718446,-0.00618008008623,-0.00217591513064,0.00791458428947,0.00787987037177,1002408884,"",NA,375,624,"en","","","","",FALSE,"{u'type': u'Point', u'coordinates': [-91.56437603, 41.79826435]}","en",5000,"-18000",FALSE,-1.27778852207,9,NA,NA,NA,NA
"",8,0.0131372088872,0.0095622690079,0.0186692208131,0.00760683508149,0.0126942487846,100256492,"",NA,1219,2145,"en","","","","",FALSE,"","en",5749,"-14400",FALSE,-2.01255419207,3,NA,NA,NA,NA
"",9,0.00911098718795,-0.00226194406716,-0.00831356671871,-0.0177524717147,0.0127190948699,100303868,"",NA,18381,4192,"en","","","","",FALSE,"","en",12773,"-14400",FALSE,0.830286001523,36,NA,NA,NA,NA
"",10,-0.000449142800265,-0.00785072320243,-0.00166300417638,0.00513733784926,0.00446679948118,1003286690,"",NA,86,393,"en","","","","",FALSE,"","en",234,"-14400",FALSE,-1.39700759781,6,NA,NA,NA,NA
"",11,-0.00399409825531,0.00253373058666,0.00320767661892,0.00490073439959,0.00828769377925,100393840,"",NA,273,879,"en","","","","",FALSE,"","en",2377,"-14400",FALSE,-1.0978108126,3,NA,NA,NA,NA
"",12,-0.013367413181,-0.000816678054845,0.00560913445992,-0.000413697884571,0.00767462379662,1004193284,"",NA,277,885,"en","","","","",FALSE,"","en",714,"-14400",FALSE,-0.360085443529,3,NA,NA,NA,NA
"",13,-0.00320122353007,-0.00537824247768,-0.00195979044194,0.00291980830371,0.00280679547278,1004560644,"",NA,426,403,"en","","","","",FALSE,"","en",3985,"-10800",FALSE,-1.33917730966,4,NA,NA,NA,NA
"",14,0.00557768191996,-5.15650019717e-05,0.00713297504928,0.00589992634865,0.0110332795698,1005164587,"",NA,410,1131,"en","","","","",FALSE,"","en",882,"-21600",FALSE,-0.68616145062,14,NA,NA,NA,NA
"",15,-0.00318581480894,-0.00621198677598,0.00171033483992,0.00734977101181,0.00944793535691,1005243464,"",NA,16,208,"en","","","","",FALSE,"","sv",57,"None",FALSE,-1.3219341924,3,NA,NA,NA,NA
"",16,-0.00454180673549,-0.00841341765407,-0.00176252227308,0.00351187981823,0.00364300044236,100532817,"",NA,13,85,"en","","","","",FALSE,"","en",97,"-25200",FALSE,-1.80185102891,3,NA,NA,NA,NA
"",17,0.00097131583863,0.000781267290445,0.00428465627802,0.00334648116872,0.00535082456251,100543559,"",NA,567,737,"en","","","","",FALSE,"","en",445,"-14400",FALSE,-1.38145860543,5,NA,NA,NA,NA
"",18,-0.00288987659032,0.00366581304928,-0.0118510967449,-0.0268284149155,0.0130545090482,1005720416,"",NA,32,587,"en","","","","",FALSE,"","en",7784,"-14400",FALSE,0.933434641976,35,NA,NA,NA,NA
