ID, ideology, leadership, name, party, description, introduced_bills_115, cosponsored_bills_115, unique_cosponsors_115, total_cosponsors_115
412411, 0.819925318196, 0.621514598671, Ross, Republican, rank-and-file Republican, 12, 48, 96, 116
400116, 0.852809731803, 0.552219689397, Duncan [TN2], Republican, rank-and-file Republican, 8, 66, 22, 28
412510, 0.941732290435, 0.49239017258, LaMalfa, Republican, conservative Republican, 7, 98, 47, 62
412309, 0.832767334955, 0.857670529153, Posey, Republican, moderate Republican leader, 6, 56, 112, 120
412209, 0.407583537756, 0.469585450302, Loebsack, Democrat, centrist Democrat, 6, 118, 46, 46
412537, 0.3953906083, 0.491926193985, Bustos, Democrat, rank-and-file Democrat, 2, 77, 36, 49
400251, 0.259579264968, 0.898763714228, Maloney [NY12], Democrat, moderate Democratic leader, 16, 98, 197, 471
412250, 0.766941593487, 0.819013977755, Bilirakis, Republican, moderate Republican leader, 15, 76, 97, 115
412282, 0.334006972125, 0.35246119172, Himes, Democrat, rank-and-file Democrat, 3, 82, 47, 51
412331, 0.274854105738, 0.467892112695, Quigley, Democrat, rank-and-file Democrat, 6, 129, 104, 164
412212, 0.312230770997, 0.550952789507, Sarbanes, Democrat, rank-and-file Democrat, 3, 84, 160, 182
400371, 0.386381414281, 0.385510836368, Sherman, Democrat, rank-and-file Democrat, 2, 83, 19, 19
412571, 0.232431696974, 0.846824732872, Cartwright, Democrat, progressive Democratic leader, 15, 125, 158, 368
400004, 0.750146860326, 0.27909080956, Aderholt, Republican, moderate Republican follower, 1, 43, 5, 5
400616, 0.325027506048, 0.594182848219, Butterfield, Democrat, rank-and-file Democrat, 1, 93, 0, 0
412236, 0.172403589086, 0.650008822668, Cohen, Democrat, progressive Democratic leader, 12, 255, 168, 275
412272, 0.308774303444, 0.621832224906, Connolly, Democrat, moderate Democratic leader, 9, 141, 116, 151
400648, 0.631883086449, 0.800608513558, Dent, Republican, centrist Republican leader, 6, 41, 151, 189
