ID, ideology, leadership, name, party, description, introduced_bills_115, cosponsored_bills_115, unique_cosponsors_115, total_cosponsors_115
300087, 0.145847357797, 0.508723967156, Schumer, Democrat, rank-and-file Democrat, 4, 44, 3, 3
400013, 0.161842170867, 0.434622702652, Baldwin, Democrat, rank-and-file Democrat, 11, 116, 44, 69
412490, 0.0761297699025, 0.748979485256, Blumenthal, Democrat, progressive Democratic leader, 13, 130, 48, 116
400034, 0.786009129896, 0.756369052477, Blunt, Republican, moderate Republican leader, 10, 81, 36, 43
412598, 0.234208967503, 0.495464587435, Booker, Democrat, rank-and-file Democrat, 11, 113, 66, 103
400064, 0.197968318852, 0.917760567618, Cardin, Democrat, moderate Democratic leader, 25, 77, 78, 327
300030, 0.833989864464, 0.46855421781, Crapo, Republican, rank-and-file Republican, 14, 63, 65, 125
412205, 0.517309934087, 0.286768185141, Donnelly, Democrat, centrist Democratic follower, 7, 44, 22, 24
300038, 0.0979005180862, 0.639425939443, Durbin, Democrat, progressive Democrat, 12, 100, 29, 52
412378, 0.0863309826212, 0.518274017415, Franken, Democrat, progressive Democrat, 11, 121, 34, 62
412223, 0.0818998349632, 0.622727184282, Gillibrand, Democrat, progressive Democrat, 15, 119, 58, 102
412218, 0.665987727351, 0.516958541927, Heller, Republican, centrist Republican, 33, 65, 48, 74
400194, 0.764978113808, 0.559856355835, Isakson, Republican, rank-and-file Republican, 12, 66, 44, 56
412242, 0.221876099297, 0.706845969512, Klobuchar, Democrat, moderate Democratic leader, 29, 122, 58, 111
400253, 0.042558847619, 0.495072091801, Markey, Democrat, progressive Democrat, 20, 108, 52, 144
400272, 0.131387445439, 0.972106131501, Menéndez, Democrat, moderate Democratic leader, 14, 81, 60, 139
412325, 0.0343697689497, 0.430056513224, Merkley, Democrat, progressive Democrat, 6, 97, 47, 93
412194, 0.15750009679, 0.310975297362, Murphy, Democrat, moderate Democratic follower, 10, 58, 29, 63
300081, 0.115603910909, 0.563932349301, Reed, Democrat, rank-and-file Democrat, 8, 72, 38, 43
412244, 0.426995986925, 0.636750165243, Tester, Democrat, centrist Democrat, 27, 83, 57, 155
412321, 0.395492309464, 0.483918586737, Warner, Democrat, centrist Democrat, 8, 52, 31, 44
